event_id,magnitude,depth_km,latitude,longitude,cdi,mmi,sig,nst,dmin,gap,tsunami_flag,year,month
eq_2017_5_208,6.5,15,-56.414,-25.7432,0,4,650,0,6.489,17,1,2017,5
eq_2017_5_209,6.8,169,-14.5884,167.377,6,5,713,0,7.495,19,1,2017,5
eq_2017_4_210,6.9,26,5.5043,125.066,9,6,814,0,1.636,14,1,2017,4
eq_2017_4_211,6.9,28,-33.0375,-72.0617,9,7,1642,0,0.356,39,1,2017,4
eq_2017_4_212,6.5,29,-22.6784,25.1558,7,8,1297,0,2.36,15,0,2017,4
eq_2017_3_213,6.6,17,56.9401,162.786,6,7,671,0,4.591,14,1,2017,3
eq_2017_2_214,6.9,414.5,-23.2593,-178.804,2,3,733,0,6.012,19,1,2017,2
eq_2017_2_215,6.5,595.98,-19.2814,-63.9047,3,3,653,0,4.242,14,0,2017,2
eq_2017_2_216,6.5,15,9.9071,125.452,8,7,718,0,2.822,36,1,2017,2
eq_2017_1_217,7.9,135,-6.2464,155.172,9,7,987,0,3.625,9,1,2017,1
eq_2017_1_218,6.5,36,-10.3506,161.335,6,6,654,0,1.64,21,1,2017,1
eq_2017_1_219,7.3,627.17,4.4782,122.617,6,3,849,0,3.813,18,1,2017,1
eq_2017_1_220,6.9,12,-19.3733,176.052,6,4,742,0,2.495,13,1,2017,1
eq_2016_12_221,7.6,38,-43.4064,-73.9413,9,8,1152,0,0.355,29,1,2016,12
eq_2016_12_222,6.7,152,-7.5082,127.921,5,5,726,0,3.38,17,0,2016,12
eq_2016_12_223,7.9,94.54,-4.5049,153.522,9,7,972,0,1.389,13,1,2016,12
eq_2016_12_224,6.9,19.73,-10.749,161.132,8,6,737,0,1.747,26,1,2016,12
eq_2016_12_225,6.5,12.26,-10.8416,161.314,0,5,650,0,1.937,18,0,2016,12
eq_2016_12_226,7.8,40,-10.6812,161.327,9,8,961,0,1.836,13,1,2016,12
eq_2016_12_227,6.6,8.45,40.4535,-126.194,5,4,1120,0,1.405,55,1,2016,12
eq_2016_12_228,6.5,13,5.2834,96.1678,9,8,731,0,0.778,27,0,2016,12
eq_2016_11_229,6.6,17,39.2732,73.9776,8,7,693,0,1.697,20,0,2016,11
eq_2016_11_230,6.9,10,11.9097,-88.8968,5,4,855,0,1.796,20,1,2016,11
eq_2016_11_231,6.9,9,37.3931,141.387,9,6,1144,0,0.671,10,1,2016,11
eq_2016_11_232,6.5,9,-42.6058,173.254,7,7,664,0,0.283,56,1,2016,11
eq_2016_11_233,6.5,10,-42.3205,173.669,6,7,656,0,0.135,58,1,2016,11
eq_2016_11_234,7.8,15.11,-42.7373,173.054,9,9,1545,0,0.481,21,1,2016,11
eq_2016_10_235,6.6,8,42.8621,13.0961,9,8,2840,0,0.174,25,0,2016,10
eq_2016_10_236,6.6,614,-4.8626,108.163,3,3,677,0,2.022,16,0,2016,10
eq_2016_10_237,6.8,42,-6.0033,148.887,3,6,716,0,3.727,11,1,2016,10
eq_2016_9_238,6.9,596.4,-19.7819,-178.244,2,3,733,0,4.051,9,1,2016,9
eq_2016_9_239,7,19,-37.3586,179.146,5,6,897,0,0.698,21,1,2016,9
eq_2016_8_240,6.8,476,-3.6849,152.792,4,3,713,0,0.803,12,1,2016,8
eq_2016_8_241,6.8,82,20.9228,94.569,6,6,981,0,1.802,17,0,2016,8
eq_2016_8_242,7.2,16.37,-22.4765,173.117,6,5,799,0,4.823,14,1,2016,8
eq_2016_7_243,7.7,196,18.5429,145.507,5,6,971,0,3.294,14,1,2016,7
eq_2016_6_244,6.6,50,-2.0967,100.665,4,6,671,0,2.435,16,0,2016,6
eq_2016_5_245,7.2,78,-56.2409,-26.9353,1,6,798,0,5.803,24,1,2016,5
eq_2016_5_246,6.9,405.69,-21.9724,-178.204,3,3,733,0,5.485,19,1,2016,5
eq_2016_5_247,6.9,29.95,0.4947,-79.616,8,7,780,0,1.192,17,1,2016,5
eq_2016_5_248,6.7,16,0.4261,-79.7899,5,7,744,0,1.352,21,1,2016,5
eq_2016_4_249,7,24,-16.0429,167.379,7,7,755,0,0.616,14,1,2016,4
eq_2016_4_250,7.8,20.59,0.3819,-79.9218,9,9,1163,0,1.44,15,1,2016,4
eq_2016_4_251,7,10,32.7906,130.754,9,9,2074,0,0.349,32,1,2016,4
eq_2016_4_252,6.9,136,23.0944,94.8654,6,6,903,0,3.001,14,0,2016,4
eq_2016_4_253,6.6,212,36.4725,71.1311,6,4,738,0,0.789,17,0,2016,4
eq_2016_4_254,6.7,27.59,-13.9805,166.594,7,5,692,0,6.787,25,1,2016,4
eq_2016_4_255,6.7,24,-14.0683,166.624,7,6,691,0,6.697,19,1,2016,4
eq_2016_4_256,6.9,26,-14.3235,166.855,7,6,734,0,1.166,25,1,2016,4
eq_2016_3_257,7.8,24,-4.9521,94.3299,4,3,948,0,7.009,20,0,2016,3
eq_2016_1_258,7.2,177,53.9776,158.546,3,7,799,0,0.958,17,1,2016,1
eq_2016_1_259,7.1,125.6,59.6204,-153.339,7,7,1496,0,0,0,1,2016,1
eq_2016_1_260,6.6,10,18.8239,-106.934,3,4,673,0,2.413,74,1,2016,1
eq_2016_1_261,6.7,46,41.9723,142.781,5,6,717,0,0.281,22,1,2016,1
eq_2016_1_262,6.5,13,3.8965,126.862,3,6,651,0,3.144,22,1,2016,1
eq_2016_1_263,6.7,55,24.8036,93.6505,8,7,1515,0,1.794,16,0,2016,1
eq_2015_12_264,6.6,85,15.8015,-93.633,8,6,765,0,0.41,35,1,2015,12
eq_2015_12_265,6.9,21,-4.1064,129.508,8,5,738,0,2.979,14,0,2015,12
eq_2015_12_266,7.2,22,38.2107,72.7797,4,7,827,0,1.116,18,0,2015,12
eq_2015_11_267,6.7,602.75,-9.1825,-71.2574,2,3,691,0,2.033,19,0,2015,11
eq_2015_11_268,7.6,620.56,-10.0598,-71.0184,5,4,896,0,2.852,10,0,2015,11
eq_2015_11_269,7.6,606.21,-10.5372,-70.9437,6,5,957,0,3.287,10,1,2015,11
eq_2015_11_270,6.8,12.59,-8.8994,158.422,5,6,715,0,1.599,19,1,2015,11
eq_2015_11_271,6.5,11,38.67,20.6,7,7,1018,0,0,0,0,2015,11
eq_2015_11_272,6.7,12,31.0009,128.873,5,4,702,0,1.444,17,0,2015,11
eq_2015_11_273,6.9,10,-29.5097,-72.0585,5,6,744,0,0.821,43,0,2015,11
